Eritrea,eri,
Estonia,est,,Estonian Land Board (Maa-amet)
Eswatini,swz, 2017-06-01 to (2022-01-31),"Surveyor General's Department, Ministry of Natural Resources and Environment",https://salb.un.org/en/data/swz,https://geoportal.un.org/arcgis/sharing/rest/content/items/0706a824b6f847f1b1e74818261839cd/data
Ethiopia,eth,,Ethiopian Geospatial Information Agency
Fiji,fji,,Ministry of Lands &amp; Mineral Resources 
Finland,fin,,National Land Survey of Finland (Maanmittauslaitos)
France,fra,,Institut national de l’information géographique et forestière (IGN) (National Institute of Geographic and Forest Information)
Gabon,gab,,Institut National de Cartographie
Gambia (the),gmb,,Department of Lands and Surveys
Georgia,geo, 2000-01-01 to (2023-06-06),National Agency of Public Registry (Sajaro Reestris Erovnuli Saagento),https://salb.un.org/en/data/geo,https://geoportal.un.org/arcgis/sharing/rest/content/items/5236953fabbe40829ea1b6cc17cbadd5/data
Germany,deu,,Federal Agency for Cartography and Geodesy (Bundesamt für Kartographie und Geodäsie)
Ghana,gha, 2012-06-28 to (2021-10-27),Lands Commission,https://salb.un.org/en/data/gha,https://geoportal.un.org/arcgis/sharing/rest/content/items/b548d62cd2d44e9e847a7438c066406e/data
Greece,grc,,National Cadastre and Mapping Agency S.A (Kthmatologio A.E ) 
Grenada,grd,,Lands and Surveys Division
Guatemala,gtm,,Instituto Geográfico Nacional
Guinea,gin,,Institut Géographique National
Guinea-Bissau,gnb, 2000-01-01 to (2021-09-02),Direcção Geral de Geografia e Cadastro,https://salb.un.org/en/data/gnb,https://geoportal.un.org/arcgis/sharing/rest/content/items/59a87026ba7c4e718c330817fa459789/data
Guyana,guy,
Haiti,hti, 2014-09-30 to (2019-10-15),Centre National de l'information Geo-Spatiale,https://geoportal.un.org/arcgis/sharing/rest/content/items/218a5f5fb426442e87acde00ba197da0/data
Holy See (the),vat,
Honduras,hnd,,Direccion General de Catastro y Geografia
Hungary,hun,,"Department of Geodesy Remote Sensing and Land Offices (Földmérési, Távérzékelési és Földhivatali Főosztály)"
Iceland,isl,,National Land Survey of Iceland (Landmælingar Íslands)
India,ind,,"Survey of India, Athibarkala Estate"
Indonesia,idn,,Geospatial Information Agency (Badan Informasi Geospasial)
Iran (Islamic Republic of),irn,,National Cartographic Centre of Iran
Iraq,irq,
Ireland,irl,,Ordnance Survey Ireland (Suirbhéireacht Ordnáis Éireann)
Israel,isr,,Survey of Israel 
Italy,ita,,Italian Military Geographic Institute (Istituto Geografico Militare Italiano) 
Jamaica,jam,,National Spatial Data Management Division
Japan,jpn,,Geospatial Information Authority of Japan
Jordan,jor,,Royal Jordanian Geographic Center
Kazakhstan,kaz,,Agency for Land Resources Management
Kenya,ken,
Kiribati,kir,,"Ministry of Home Affairs and Rural Development,Land Management Division"
Kuwait,kwt,,Survey Department
Kyrgyzstan,kgz,,State Agency of Cartography &amp; Geodesy
Lao People's Democratic Republic (the),lao,,National Geographic Department
Latvia,lva,,Latvian Geospatial Information Agency (Latvijas Geotelpiskas Informacijas Agentura)
Lebanon,lbn,,Direction des Affaires Géographiques-DAG
Lesotho,lso, 1990-01-01 to (2021-10-05),"Department of Lands, Surveys &amp; Physical Planning",https://salb.un.org/en/data/lso,https://geoportal.un.org/arcgis/sharing/rest/content/items/b8dbc759b87743a2ab689824f656e4d9/data
Liberia,lbr,,Survey Department
Libya,lby,,Survey Department of Libya 
,,,https://salb.un.org
Liechtenstein,lie,,Tiefbaumt
Lithuania,ltu,,National Land Service under the Ministry of Agriculture(Nacionalinė žemės tarnyba prie Žemės ūkio ministerijos)
Luxembourg,lux,,Administration du Cadastre et de la Topographie (Administration of the Cadastre and Topography)
Madagascar,mdg, 2021-06-24 to (2021-10-27),Institut Géographique et Hydrographique National (Foiben-Taosarintanin'I Madagasikara),https://salb.un.org/en/data/mdg,https://geoportal.un.org/arcgis/sharing/rest/content/items/89cc077aceaf42af8abe2042f5171ddc/data
